Chargeback Reference Number,Transaction Date,Filing Date,Settlement Date,Issuer Bank,Merchant Name,Merchant Category,Transaction Amount,Currency,Reason Code,Chargeback Stage,Status,Analyst,SLA Met,Days to File,Days to Resolve,Resolution Channel,Merchant Risk Score,Transaction Type,Card Type,Customer Segment,Fraudulent Transaction,Fraud Type,Case Urgency,Cardholder Country
CBR803869,2025-11-15,2026-02-13,2025-11-30,RHB,Tealive,Food & Beverage,1596.49,SGD,R104 Duplicate Charge,Pre-Arbitration,Won,Akmal Danial,No,90,75,Manual Investigation,82,QR,Debit,Regular,No,-,Medium,Thailand
CBR488918,2024-06-23,2024-09-18,2024-07-04,Bank Islam,Guardian,Retail,1404.55,NZD,R110 Customer Dispute,Arbitration,Lost,Shazlin Suhaime,No,87,76,Manual Investigation,82,Online,Prepaid,Premium,No,-,Medium,Malaysia
CBR238661,2023-04-30,2023-06-12,2023-05-22,AmBank,Astro,Subscription,1374.27,USD,R113 Unauthorized Recurring Charge,First Chargeback,Won,Akmal Danial,Yes,43,21,Issuer Portal,86,Online,Credit,Premium,Yes,Friendly Fraud,High,Malaysia
CBR686741,2024-10-13,2024-12-04,2024-11-07,OCBC,AirAsia,Travel,1338.01,AED,R112 Billing Issue,Pre-Arbitration,Won,Akmal Danial,Yes,52,27,Manual Investigation,57,Wallet,Debit,Premium,No,-,Medium,Malaysia
CBR143122,2023-12-24,2024-03-30,2024-01-01,Standard Chartered,Watsons,Retail,639.94,EUR,R111 Technical Error,Arbitration,Won,Akmal Danial,No,97,89,Issuer Portal,70,Wallet,Debit,Business,No,-,Medium,Australia
CBR708684,2025-09-19,2026-01-01,2025-10-04,HSBC,Qoo10,E-commerce,1452.63,CNY,R114 Failed Delivery,Arbitration,Arbitration Filed,Nadiah Saat,No,104,89,Automated Dispute System,67,QR,Credit,Premium,Yes,Synthetic Identity,High,Malaysia
CBR372935,2023-06-21,2023-08-03,2023-07-01,RHB,Celcom,Telecom,429.02,HKD,R108 Credit Not Processed,First Chargeback,Lost,Shazlin Suhaime,Yes,43,33,Automated Dispute System,59,Wallet,Debit,Premium,No,-,Low,Australia
CBR278117,2024-05-13,2024-06-09,2024-06-06,CIMB,MAXIS,Telecom,1519.27,ZAR,R113 Unauthorized Recurring Charge,First Chargeback,Additional Info Requested,Akmal Danial,Yes,27,3,Automated Dispute System,40,QR,Debit,Premium,Yes,Friendly Fraud,High,Singapore
CBR628216,2025-11-04,2026-01-12,2025-11-30,Standard Chartered,Digi,Telecom,368.07,AUD,R110 Customer Dispute,Pre-Arbitration,Won,Shazlin Suhaime,Yes,69,43,Issuer Portal,46,Online,Credit,Premium,No,-,Low,Malaysia
CBR616780,2023-01-08,2023-02-28,2023-02-01,UOB,Tealive,Food & Beverage,7.81,THB,R113 Unauthorized Recurring Charge,First Chargeback,Submitted,Akmal Danial,Yes,51,27,Merchant Coordination,71,Wallet,Debit,Regular,Yes,Friendly Fraud,Medium,Australia
CBR455652,2023-02-04,2023-03-15,2023-02-19,Bank Islam,Qoo10,E-commerce,1585.81,PHP,R113 Unauthorized Recurring Charge,First Chargeback,Timed Out,Shazlin Suhaime,Yes,39,24,In-House Review,44,POS,Credit,Business,Yes,Friendly Fraud,High,Australia
CBR590822,2024-12-31,2025-01-31,2025-01-08,Bank Islam,Lazada,E-commerce,430.21,JPY,R110 Customer Dispute,Arbitration,Timed Out,Nadiah Saat,Yes,31,23,Merchant Coordination,53,Subscription,Credit,Regular,No,-,Low,Malaysia
CBR238327,2025-07-24,2025-10-25,2025-08-06,CIMB,MAXIS,Telecom,436.99,EUR,R106 Incorrect Amount,Pre-Arbitration,Withdrawn by Cardholder,Akmal Danial,No,93,80,Automated Dispute System,54,Online,Debit,Premium,No,-,Low,Malaysia
CBR194002,2025-12-10,2026-01-21,2025-12-22,Standard Chartered,Nike,Fashion,1743.82,GBP,R103 Goods Not as Described,Arbitration,Won,Shazlin Suhaime,Yes,42,30,In-House Review,89,Online,Prepaid,Business,No,-,Medium,Philippines
CBR432731,2025-07-19,2025-10-19,2025-08-11,HSBC,Netflix,Entertainment,335.57,HKD,R110 Customer Dispute,Pre-Arbitration,Pre-Arbitration Submitted,Akmal Danial,No,92,69,Automated Dispute System,52,Wallet,Credit,Regular,No,-,Low,Singapore
CBR844756,2023-03-17,2023-04-03,2023-03-29,Public Bank,eBay,E-commerce,1421.55,SGD,R109 Fraudulent Activity,First Chargeback,Representment Received,Shazlin Suhaime,Yes,17,5,Merchant Coordination,64,Wallet,Credit,Regular,Yes,Friendly Fraud,High,United States
CBR656189,2024-03-26,2024-06-24,2024-04-21,HSBC,Shopee,E-commerce,518.37,CHF,R106 Incorrect Amount,Pre-Arbitration,Lost,Akmal Danial,No,90,64,Merchant Coordination,87,QR,Debit,Regular,No,-,Medium,Malaysia
CBR553959,2023-10-08,2023-12-01,2023-10-19,CIMB,Starbucks,Food & Beverage,556.68,AED,R111 Technical Error,Arbitration,Timed Out,Akmal Danial,Yes,54,43,Issuer Portal,89,Subscription,Prepaid,Premium,No,-,Medium,Thailand
CBR248683,2025-02-11,2025-03-24,2025-03-05,OCBC,Charles & Keith,Fashion,560.8,EUR,R113 Unauthorized Recurring Charge,Arbitration,Arbitration Closed,Akmal Danial,Yes,41,19,In-House Review,45,Wallet,Debit,Regular,Yes,Friendly Fraud,High,United Kingdom
CBR373055,2023-05-11,2023-06-23,2023-05-31,Public Bank,Mydin,Grocery,987.73,THB,R102 Services Not Received,Pre-Arbitration,Manual Review Required,Akmal Danial,Yes,43,23,Manual Investigation,52,Wallet,Prepaid,Premium,No,-,Low,Thailand
CBR222517,2025-04-17,2025-06-03,2025-04-26,OCBC,Agoda,Travel,1627.95,CNY,R106 Incorrect Amount,First Chargeback,Merchant Refunded,Nadiah Saat,Yes,47,38,Merchant Coordination,62,QR,Credit,Regular,No,-,Medium,Malaysia
CBR428486,2024-11-29,2025-01-06,2024-12-10,Maybank,Adidas,Fashion,1088.79,INR,R106 Incorrect Amount,Arbitration,Timed Out,Nadiah Saat,Yes,38,27,In-House Review,42,Online,Prepaid,Regular,No,-,Medium,Australia
CBR146307,2024-07-30,2024-09-18,2024-08-23,AmBank,AliExpress,E-commerce,781.52,USD,R115 Payment Method Error,Pre-Arbitration,Won,Shazlin Suhaime,Yes,50,26,Manual Investigation,68,POS,Credit,Regular,No,-,Medium,Malaysia
CBR234082,2023-01-26,2023-03-15,2023-02-25,CIMB,Secret Recipe,Food & Beverage,782.33,JPY,R102 Services Not Received,Arbitration,Won,Shazlin Suhaime,Yes,48,18,Manual Investigation,50,POS,Prepaid,Regular,No,-,Low,Malaysia
CBR623460,2024-06-02,2024-09-11,2024-07-01,CIMB,Tealive,Food & Beverage,399.52,CNY,R112 Billing Issue,Arbitration,Won,Nadiah Saat,No,101,72,In-House Review,82,Online,Credit,Premium,No,-,Medium,Malaysia
CBR975355,2025-02-22,2025-05-29,2025-03-16,HSBC,Klook,Travel,1082.86,ZAR,R111 Technical Error,First Chargeback,Won,Akmal Danial,No,96,74,Automated Dispute System,48,Wallet,Debit,Business,No,-,Medium,India
CBR394650,2023-11-13,2023-12-23,2023-11-23,UOB,HBO Go,Subscription,559.73,INR,R102 Services Not Received,Arbitration,Won,Akmal Danial,Yes,40,30,Issuer Portal,76,Online,Prepaid,Premium,No,-,Medium,Malaysia
CBR884149,2024-03-05,2024-06-01,2024-03-24,OCBC,IKEA,Retail,445.99,EUR,R114 Failed Delivery,Arbitration,Timed Out,Akmal Danial,No,88,69,Issuer Portal,71,Wallet,Debit,Premium,No,-,Medium,Vietnam
CBR478108,2025-06-06,2025-07-17,2025-06-29,RHB,Celcom,Telecom,1370.58,PHP,R103 Goods Not as Described,Arbitration,Lost,Shazlin Suhaime,Yes,41,18,Automated Dispute System,48,Online,Prepaid,Regular,No,-,Medium,Malaysia
CBR550977,2025-04-09,2025-05-31,2025-05-08,AmBank,Shopee,E-commerce,200.42,INR,R108 Credit Not Processed,First Chargeback,Won,Nadiah Saat,Yes,52,23,Issuer Portal,50,Online,Debit,Premium,No,-,Low,Malaysia
CBR396668,2024-01-28,2024-04-11,2024-02-24,OCBC,Disney+,Entertainment,1322.81,CHF,R110 Customer Dispute,Pre-Arbitration,Won,Nadiah Saat,No,74,47,In-House Review,31,Online,Credit,Premium,No,-,Medium,United Kingdom
CBR376002,2025-02-12,2025-05-23,2025-02-28,OCBC,Qoo10,E-commerce,1765.22,EUR,R105 Cancelled Subscription,First Chargeback,Submitted,Nadiah Saat,No,100,84,In-House Review,78,Subscription,Credit,Premium,Yes,Phishing,High,Malaysia
CBR742705,2024-07-05,2024-10-13,2024-07-20,Standard Chartered,Traveloka,Travel,1846.06,MYR,R111 Technical Error,Arbitration,Arbitration Closed,Akmal Danial,No,100,85,Automated Dispute System,55,Wallet,Credit,Premium,No,-,Medium,Thailand
CBR969887,2024-12-01,2025-03-15,2024-12-17,UOB,Traveloka,Travel,534.24,AUD,R108 Credit Not Processed,Arbitration,Arbitration Filed,Shazlin Suhaime,No,104,88,Automated Dispute System,65,Wallet,Debit,Business,No,-,Medium,Singapore
CBR898557,2024-04-07,2024-05-11,2024-04-30,HSBC,Nike,Fashion,693.34,MYR,R115 Payment Method Error,Pre-Arbitration,Lost,Nadiah Saat,Yes,34,11,In-House Review,40,QR,Prepaid,Business,No,-,Low,Thailand
CBR376570,2023-05-14,2023-06-21,2023-06-11,OCBC,foodpanda,Food & Beverage,1562.95,MYR,R101 Unauthorized Transaction,First Chargeback,Won,Shazlin Suhaime,Yes,38,10,Automated Dispute System,69,QR,Debit,Premium,Yes,Account Takeover,High,Singapore
CBR642085,2023-06-07,2023-07-23,2023-07-04,Standard Chartered,Agoda,Travel,1900.61,PHP,R110 Customer Dispute,First Chargeback,Under Review,Akmal Danial,Yes,46,19,Manual Investigation,85,QR,Prepaid,Premium,No,-,Medium,India
CBR428215,2023-10-11,2024-01-11,2023-10-21,Maybank,Tealive,Food & Beverage,569.25,GBP,R104 Duplicate Charge,Pre-Arbitration,Pre-Arbitration Rejected,Akmal Danial,No,92,82,Merchant Coordination,89,Online,Credit,Premium,No,-,Medium,Malaysia
CBR556943,2025-06-09,2025-09-04,2025-06-18,OCBC,TNG eWallet,Transport,998.32,MYR,R108 Credit Not Processed,Arbitration,Arbitration Closed,Nadiah Saat,No,87,78,Automated Dispute System,31,POS,Credit,Regular,Yes,Stolen Card,High,South Korea
CBR272998,2025-03-24,2025-05-05,2025-04-14,CIMB,Viu,Entertainment,1733.25,PHP,R113 Unauthorized Recurring Charge,Pre-Arbitration,Lost,Nadiah Saat,Yes,42,21,Manual Investigation,59,QR,Credit,Premium,Yes,Friendly Fraud,High,Singapore
CBR430870,2023-05-01,2023-07-04,2023-05-10,UOB,Apple Music,Subscription,33.75,NZD,R112 Billing Issue,Pre-Arbitration,Pre-Arbitration Submitted,Akmal Danial,No,64,55,Manual Investigation,66,POS,Credit,Premium,No,-,Medium,Indonesia
CBR872663,2023-07-02,2023-09-27,2023-07-21,Maybank,YouTube Premium,Subscription,1635.62,MYR,R114 Failed Delivery,Arbitration,Timed Out,Nadiah Saat,No,87,68,Manual Investigation,85,POS,Prepaid,Regular,No,-,Medium,Malaysia
CBR615138,2024-03-21,2024-06-09,2024-04-06,Maybank,Secret Recipe,Food & Beverage,1201.63,BDT,R104 Duplicate Charge,Pre-Arbitration,Pre-Arbitration Rejected,Shazlin Suhaime,No,80,64,Merchant Coordination,46,Online,Debit,Premium,No,-,Medium,Singapore
CBR900771,2024-01-02,2024-02-17,2024-01-21,UOB,Traveloka,Travel,855.01,PHP,R105 Cancelled Subscription,First Chargeback,Under Review,Nadiah Saat,Yes,46,27,In-House Review,35,POS,Debit,Premium,No,-,Low,India
CBR258612,2025-09-12,2025-10-12,2025-10-04,RHB,Amazon,E-commerce,376.58,EUR,R107 Late Settlement,Arbitration,Lost,Akmal Danial,Yes,30,8,Issuer Portal,85,QR,Prepaid,Regular,Yes,Account Takeover,High,South Korea
CBR682667,2025-05-08,2025-07-19,2025-05-17,Public Bank,KFC,Food & Beverage,410.31,EUR,R114 Failed Delivery,First Chargeback,Representment Received,Akmal Danial,No,72,63,Manual Investigation,59,POS,Debit,Premium,No,-,Low,Australia
CBR994470,2023-08-15,2023-09-26,2023-09-08,OCBC,McDonald,Food & Beverage,54.39,MYR,R107 Late Settlement,Arbitration,Lost,Nadiah Saat,Yes,42,18,Merchant Coordination,37,Online,Debit,Premium,No,-,Low,Indonesia
CBR789354,2023-04-15,2023-07-18,2023-05-02,HSBC,YouTube Premium,Subscription,513.29,CHF,R106 Incorrect Amount,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,No,94,77,Manual Investigation,62,Online,Credit,Regular,No,-,Medium,Philippines
CBR767578,2024-11-23,2025-02-09,2024-12-22,UOB,Digi,Telecom,468.22,INR,R114 Failed Delivery,Arbitration,Lost,Shazlin Suhaime,No,78,49,Issuer Portal,69,Subscription,Prepaid,Regular,Yes,Stolen Card,Medium,Singapore
CBR936994,2023-03-21,2023-04-28,2023-04-10,Maybank,Amazon,E-commerce,1460.04,MYR,R101 Unauthorized Transaction,Pre-Arbitration,Manual Review Required,Akmal Danial,Yes,38,18,Issuer Portal,48,Subscription,Credit,Premium,Yes,Account Takeover,High,Australia
CBR561362,2025-08-28,2025-10-24,2025-09-22,UOB,Malaysia Airlines,Travel,1129.85,HKD,R114 Failed Delivery,First Chargeback,Won,Nadiah Saat,Yes,57,32,Automated Dispute System,86,Wallet,Debit,Regular,Yes,Phishing,High,Malaysia
CBR155807,2024-06-14,2024-09-26,2024-07-13,Standard Chartered,Secret Recipe,Food & Beverage,1409.87,AUD,R110 Customer Dispute,Arbitration,Won,Nadiah Saat,No,104,75,Issuer Portal,42,Online,Credit,Premium,No,-,Medium,Malaysia
CBR298096,2023-09-22,2023-10-14,2023-10-05,RHB,Sephora,E-commerce,34.94,EUR,R109 Fraudulent Activity,Pre-Arbitration,Pre-Arbitration Submitted,Akmal Danial,Yes,22,9,Merchant Coordination,54,POS,Debit,Regular,Yes,Phishing,Low,Malaysia
CBR255840,2023-10-08,2023-11-28,2023-11-03,Public Bank,Adidas,Fashion,823.1,NZD,R105 Cancelled Subscription,First Chargeback,Submitted,Nadiah Saat,Yes,51,25,Merchant Coordination,30,Subscription,Prepaid,Premium,No,-,Low,Thailand
CBR157217,2023-11-15,2024-02-09,2023-11-28,RHB,KFC,Food & Beverage,1839.72,CNY,R103 Goods Not as Described,Arbitration,Arbitration Closed,Nadiah Saat,No,86,73,Merchant Coordination,44,QR,Debit,Business,No,-,Medium,Singapore
CBR341026,2024-04-24,2024-05-30,2024-05-13,UOB,Netflix,Entertainment,1766.81,GBP,R113 Unauthorized Recurring Charge,Pre-Arbitration,Merchant Refunded,Nadiah Saat,Yes,36,17,In-House Review,60,Wallet,Debit,Premium,Yes,Friendly Fraud,High,Singapore
CBR292037,2025-04-29,2025-06-05,2025-05-18,HSBC,Zalora,E-commerce,414.94,AED,R109 Fraudulent Activity,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,Yes,37,18,Issuer Portal,84,Subscription,Prepaid,Regular,Yes,Friendly Fraud,High,Indonesia
CBR137604,2025-01-24,2025-03-08,2025-02-01,Public Bank,GrabFood,Food & Beverage,1853.8,MYR,R103 Goods Not as Described,Pre-Arbitration,Merchant Refunded,Nadiah Saat,Yes,43,35,Merchant Coordination,36,QR,Debit,Business,No,-,Medium,Malaysia
CBR593090,2024-09-05,2024-10-13,2024-09-21,OCBC,Trip.com,Travel,1576.62,USD,R115 Payment Method Error,First Chargeback,Timed Out,Nadiah Saat,Yes,38,22,Merchant Coordination,66,QR,Credit,Business,No,-,Medium,Philippines
CBR372864,2024-10-03,2024-11-27,2024-11-02,UOB,Tealive,Food & Beverage,592.29,SGD,R113 Unauthorized Recurring Charge,Pre-Arbitration,Pre-Arbitration Rejected,Nadiah Saat,Yes,55,25,Issuer Portal,45,POS,Debit,Regular,Yes,Friendly Fraud,High,Philippines
CBR271499,2025-04-01,2025-05-04,2025-04-10,Maybank,Texas Chicken,Food & Beverage,378.05,CAD,R103 Goods Not as Described,First Chargeback,Additional Info Requested,Nadiah Saat,Yes,33,24,Merchant Coordination,40,Wallet,Debit,Regular,No,-,Low,Malaysia
CBR840255,2023-06-09,2023-09-24,2023-06-30,Public Bank,eBay,E-commerce,171.72,AED,R112 Billing Issue,Pre-Arbitration,Pre-Arbitration Rejected,Akmal Danial,No,107,86,Merchant Coordination,65,POS,Credit,Regular,No,-,Medium,South Korea
CBR589824,2023-11-08,2024-02-13,2023-11-23,CIMB,Watsons,Retail,1071.37,CNY,R114 Failed Delivery,Arbitration,Timed Out,Shazlin Suhaime,No,97,82,Merchant Coordination,39,Wallet,Prepaid,Business,No,-,Medium,Australia
CBR557629,2023-08-27,2023-11-29,2023-09-16,AmBank,Malaysia Airlines,Travel,1914.47,INR,R103 Goods Not as Described,Pre-Arbitration,Manual Review Required,Shazlin Suhaime,No,94,74,Automated Dispute System,33,Subscription,Prepaid,Regular,Yes,Friendly Fraud,High,Thailand
CBR221660,2024-02-05,2024-05-19,2024-02-24,AmBank,McDonald,Food & Beverage,280.77,CAD,R106 Incorrect Amount,Arbitration,Lost,Shazlin Suhaime,No,104,85,Automated Dispute System,78,POS,Credit,Premium,No,-,Medium,South Korea
CBR618951,2024-01-27,2024-03-17,2024-02-23,CIMB,Agoda,Travel,259.59,IDR,R114 Failed Delivery,Arbitration,Lost,Shazlin Suhaime,Yes,50,23,In-House Review,88,POS,Debit,Regular,Yes,Account Takeover,High,Malaysia
CBR142773,2023-11-11,2024-01-03,2023-12-08,RHB,Texas Chicken,Food & Beverage,614.15,PHP,R112 Billing Issue,Arbitration,Lost,Nadiah Saat,Yes,53,26,In-House Review,90,QR,Debit,Business,No,-,Medium,Philippines
CBR562966,2025-10-16,2025-11-26,2025-11-10,Standard Chartered,Setel,Transport,1550.04,CNY,R113 Unauthorized Recurring Charge,First Chargeback,Lost,Shazlin Suhaime,Yes,41,16,Merchant Coordination,42,Online,Debit,Premium,Yes,Friendly Fraud,High,Vietnam
CBR473838,2023-06-20,2023-08-05,2023-06-29,Standard Chartered,Jaya Grocer,Grocery,1004.64,INR,R107 Late Settlement,Pre-Arbitration,Won,Shazlin Suhaime,Yes,46,37,Merchant Coordination,88,QR,Credit,Premium,No,-,Medium,Singapore
CBR843470,2024-11-14,2025-01-19,2024-11-21,AmBank,Celcom,Telecom,545.84,ZAR,R103 Goods Not as Described,First Chargeback,Merchant Refunded,Akmal Danial,No,66,59,Merchant Coordination,84,QR,Debit,Regular,No,-,Medium,Malaysia
CBR688098,2024-05-27,2024-08-30,2024-06-24,AmBank,MAXIS,Telecom,1184.67,KRW,R112 Billing Issue,Pre-Arbitration,Pre-Arbitration Rejected,Shazlin Suhaime,No,95,67,Merchant Coordination,47,Subscription,Prepaid,Business,No,-,Medium,Singapore
CBR608768,2024-04-19,2024-06-12,2024-04-26,Standard Chartered,Charles & Keith,Fashion,1817.08,JPY,R114 Failed Delivery,First Chargeback,Lost,Nadiah Saat,No,54,47,In-House Review,31,Online,Debit,Premium,No,-,Medium,Thailand
CBR579995,2023-11-15,2023-12-16,2023-12-10,AmBank,Amazon,E-commerce,651.93,CNY,R113 Unauthorized Recurring Charge,First Chargeback,Timed Out,Shazlin Suhaime,Yes,31,6,Manual Investigation,64,QR,Credit,Regular,Yes,Friendly Fraud,High,Japan
CBR616935,2025-03-13,2025-04-20,2025-04-01,HSBC,Padini,Fashion,799.18,CHF,R105 Cancelled Subscription,First Chargeback,Lost,Akmal Danial,Yes,38,19,In-House Review,60,Online,Debit,Business,Yes,Friendly Fraud,High,Australia
CBR217955,2025-01-19,2025-02-26,2025-02-16,Standard Chartered,Domino,Food & Beverage,309.27,CNY,R104 Duplicate Charge,Arbitration,Won,Akmal Danial,Yes,38,10,Merchant Coordination,66,POS,Debit,Regular,No,-,Medium,Australia
CBR986925,2023-06-08,2023-09-26,2023-07-08,UOB,Boost Juice,Food & Beverage,1290.29,IDR,R108 Credit Not Processed,Pre-Arbitration,Pre-Arbitration Rejected,Shazlin Suhaime,No,110,80,Issuer Portal,85,Online,Credit,Business,No,-,Medium,Malaysia
CBR854727,2023-11-12,2023-12-13,2023-11-27,Maybank,H&M,Fashion,693.42,CHF,R107 Late Settlement,Pre-Arbitration,Pre-Arbitration Rejected,Nadiah Saat,Yes,31,16,In-House Review,55,QR,Debit,Regular,No,-,Low,Vietnam
CBR255245,2024-02-19,2024-05-13,2024-03-19,Maybank,AirAsia,Travel,1115.23,PHP,R108 Credit Not Processed,First Chargeback,Lost,Shazlin Suhaime,No,84,55,Manual Investigation,42,QR,Credit,Regular,No,-,Medium,Thailand
CBR229660,2024-11-18,2025-01-10,2024-12-06,HSBC,AirAsia,Travel,1085.13,INR,R111 Technical Error,Arbitration,Arbitration Filed,Akmal Danial,Yes,53,35,In-House Review,30,POS,Debit,Business,No,-,Medium,Singapore
CBR466586,2023-01-31,2023-04-13,2023-03-02,CIMB,Mydin,Grocery,46.59,INR,R111 Technical Error,Pre-Arbitration,Pre-Arbitration Submitted,Akmal Danial,Yes,72,42,In-House Review,89,Online,Debit,Premium,No,-,Medium,Vietnam
CBR198123,2023-08-17,2023-09-26,2023-08-24,Standard Chartered,Celcom,Telecom,513.86,GBP,R103 Goods Not as Described,Arbitration,Arbitration Closed,Shazlin Suhaime,Yes,40,33,Merchant Coordination,62,Wallet,Prepaid,Business,No,-,Medium,Indonesia
CBR313630,2023-11-23,2024-01-02,2023-12-03,Maybank,Spotify,Subscription,1564.56,JPY,R108 Credit Not Processed,Arbitration,Won,Akmal Danial,Yes,40,30,Issuer Portal,49,Wallet,Credit,Business,No,-,Medium,Singapore
CBR397917,2024-09-22,2024-11-04,2024-10-07,Maybank,Starbucks,Food & Beverage,519.53,BDT,R115 Payment Method Error,Pre-Arbitration,Withdrawn by Cardholder,Shazlin Suhaime,Yes,43,28,Manual Investigation,42,Wallet,Credit,Regular,No,-,Low,Malaysia
CBR289430,2023-10-07,2023-12-01,2023-10-14,RHB,GrabFood,Food & Beverage,806.68,BDT,R112 Billing Issue,Arbitration,Arbitration Closed,Nadiah Saat,No,55,48,Issuer Portal,52,Wallet,Debit,Regular,No,-,Low,Singapore
CBR975512,2025-02-17,2025-05-31,2025-03-03,UOB,Zalora,E-commerce,698.26,PHP,R107 Late Settlement,First Chargeback,Submitted,Akmal Danial,No,103,89,Merchant Coordination,75,Subscription,Credit,Regular,No,-,Medium,India
CBR276470,2025-03-15,2025-04-11,2025-04-04,Bank Islam,Econsave,Grocery,841.73,PHP,R113 Unauthorized Recurring Charge,First Chargeback,Submitted,Akmal Danial,Yes,27,7,In-House Review,49,POS,Debit,Premium,Yes,Friendly Fraud,High,Thailand
CBR886365,2025-12-10,2025-12-31,2025-12-22,UOB,Booking.com,Travel,186.87,USD,R101 Unauthorized Transaction,Pre-Arbitration,Lost,Nadiah Saat,Yes,21,9,In-House Review,51,Wallet,Credit,Regular,Yes,Account Takeover,Low,Malaysia
CBR633450,2024-03-13,2024-04-29,2024-04-12,Bank Islam,foodpanda,Food & Beverage,732.59,ZAR,R109 Fraudulent Activity,First Chargeback,Under Review,Nadiah Saat,Yes,47,17,Merchant Coordination,90,Wallet,Prepaid,Regular,Yes,Account Takeover,High,Thailand
CBR962529,2024-10-29,2024-12-12,2024-11-22,UOB,Astro,Subscription,692.11,IDR,R109 Fraudulent Activity,Pre-Arbitration,Pre-Arbitration Rejected,Akmal Danial,Yes,44,20,Issuer Portal,53,Subscription,Credit,Premium,Yes,Friendly Fraud,High,Malaysia
CBR690607,2023-07-03,2023-10-24,2023-07-27,Bank Islam,GrabFood,Food & Beverage,845.96,SGD,R110 Customer Dispute,First Chargeback,Merchant Refunded,Akmal Danial,No,113,89,Merchant Coordination,79,POS,Debit,Regular,No,-,Medium,Thailand
CBR795350,2024-01-07,2024-04-02,2024-01-26,CIMB,MAXIS,Telecom,108.03,MYR,R103 Goods Not as Described,Pre-Arbitration,Pre-Arbitration Rejected,Nadiah Saat,No,86,67,Manual Investigation,49,Wallet,Debit,Business,No,-,Low,India
CBR714127,2023-06-18,2023-07-27,2023-07-04,Maybank,MR.DIY,Retail,1431.68,USD,R105 Cancelled Subscription,First Chargeback,Representment Received,Nadiah Saat,Yes,39,23,In-House Review,39,QR,Credit,Business,No,-,Medium,Singapore
CBR322713,2025-07-08,2025-08-23,2025-08-07,UOB,HBO Go,Subscription,301.86,AUD,R108 Credit Not Processed,Pre-Arbitration,Pending Arbitration,Nadiah Saat,Yes,46,16,Automated Dispute System,74,POS,Credit,Business,No,-,Medium,Australia
CBR711893,2023-12-06,2024-01-13,2023-12-17,Bank Islam,H&M,Fashion,240.16,GBP,R109 Fraudulent Activity,Arbitration,Arbitration Closed,Nadiah Saat,Yes,38,27,Issuer Portal,78,QR,Prepaid,Premium,Yes,Phishing,Medium,Indonesia
CBR104326,2024-02-08,2024-04-11,2024-03-05,Maybank,Klook,Travel,1729.99,USD,R114 Failed Delivery,Arbitration,Arbitration Closed,Akmal Danial,Yes,63,37,Merchant Coordination,66,Subscription,Credit,Business,No,-,Medium,Malaysia
CBR651567,2025-07-22,2025-09-09,2025-08-21,Standard Chartered,Trip.com,Travel,1814.87,KRW,R107 Late Settlement,Arbitration,Won,Akmal Danial,Yes,49,19,Manual Investigation,40,Online,Prepaid,Business,No,-,Medium,Singapore
CBR904098,2024-06-07,2024-07-14,2024-06-21,Maybank,Apple Music,Subscription,1750.37,KRW,R115 Payment Method Error,First Chargeback,Lost,Nadiah Saat,Yes,37,23,Merchant Coordination,35,Subscription,Debit,Regular,No,-,Medium,Singapore
CBR698514,2023-07-02,2023-09-18,2023-07-17,Public Bank,Agoda,Travel,1881.04,MYR,R110 Customer Dispute,Arbitration,Arbitration Filed,Shazlin Suhaime,No,78,63,In-House Review,30,POS,Credit,Regular,No,-,Medium,Japan
CBR289340,2024-07-20,2024-10-18,2024-08-07,UOB,KFC,Food & Beverage,241.26,AUD,R112 Billing Issue,Pre-Arbitration,Merchant Refunded,Nadiah Saat,No,90,72,Issuer Portal,63,Subscription,Prepaid,Regular,No,-,Medium,Malaysia
CBR536646,2023-07-09,2023-08-30,2023-08-04,OCBC,Uniqlo,Fashion,57.72,BDT,R113 Unauthorized Recurring Charge,Arbitration,Lost,Shazlin Suhaime,Yes,52,26,In-House Review,70,Online,Credit,Business,Yes,Friendly Fraud,Medium,Philippines
CBR180567,2025-08-26,2025-10-13,2025-09-02,Standard Chartered,Grab,Transport,1002.6,AED,R111 Technical Error,Arbitration,Won,Shazlin Suhaime,Yes,48,41,Manual Investigation,71,Wallet,Prepaid,Regular,No,-,Medium,Vietnam
CBR358114,2023-01-16,2023-04-17,2023-01-30,UOB,Astro,Subscription,695.68,GBP,R111 Technical Error,Pre-Arbitration,Lost,Shazlin Suhaime,No,91,77,In-House Review,56,Wallet,Credit,Premium,No,-,Low,Malaysia
CBR905572,2025-10-18,2026-01-02,2025-10-27,UOB,AirAsia,Travel,110.69,CAD,R114 Failed Delivery,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,No,76,67,Merchant Coordination,68,Wallet,Prepaid,Regular,Yes,Synthetic Identity,Medium,Australia
CBR622307,2024-01-05,2024-03-09,2024-01-15,Public Bank,MAXIS,Telecom,1946.42,SGD,R111 Technical Error,Arbitration,Arbitration Filed,Akmal Danial,No,64,54,Merchant Coordination,63,Wallet,Credit,Business,No,-,Medium,Vietnam
CBR809790,2023-11-30,2024-02-20,2023-12-08,CIMB,Viu,Entertainment,1716.33,KRW,R107 Late Settlement,First Chargeback,Submitted,Shazlin Suhaime,No,82,74,In-House Review,82,QR,Prepaid,Business,Yes,Phishing,High,Thailand
